in s,C1 in V
-9.93118998E+01,-3.890991E-06
-9.93027445E+01,-4.959106E-06
-9.92935892E+01,-2.517700E-06
-9.92844340E+01,-1.144409E-06
-9.92752787E+01,-2.365112E-06
-9.92661234E+01,-7.553101E-06
-9.92569681E+01,-2.288818E-07
-9.92478128E+01,-7.705688E-06
-9.92386576E+01,-8.468628E-06
-9.92295023E+01,-9.536743E-06
-9.92203470E+01,-1.106262E-05
-9.92111917E+01,-6.637573E-06
-9.92020364E+01,-2.975464E-06
-9.91928812E+01,-7.095337E-06
-9.91837259E+01,-5.416870E-06
-9.91745706E+01,-6.332397E-06
-9.91654153E+01,-1.754761E-06
-9.91562600E+01,7.858276E-06
-9.91471048E+01,-1.754761E-06
-9.91379495E+01,4.806519E-06
-9.91287942E+01,-1.289368E-05
-9.91196389E+01,-2.822876E-06
-9.91104836E+01,3.128052E-06
-9.91013284E+01,1.487732E-05
-9.90921731E+01,9.918213E-07
-9.90830178E+01,6.484985E-06
-9.90738625E+01,2.067566E-05
-9.90647072E+01,6.484985E-06
-9.90555520E+01,2.067566E-05
-9.90463967E+01,1.853943E-05
-9.90372414E+01,2.586365E-05
-9.90280861E+01,9.231567E-06
-9.90189308E+01,4.501343E-06
-9.90097756E+01,-3.890991E-06
-9.90006203E+01,1.197815E-05
-9.89914650E+01,2.433777E-05
-9.89823097E+01,5.393982E-05
-9.89731544E+01,-2.555847E-05
-9.89639992E+01,-7.148743E-05
-9.89548439E+01,2.784729E-05
-9.89456886E+01,-7.858276E-06
-9.89365333E+01,-4.051208E-05
-9.89273780E+01,9.689331E-06
-9.89182228E+01,3.814697E-07
-9.89090675E+01,-2.677917E-05
-9.88999122E+01,1.640320E-05
-9.88907569E+01,-4.043579E-06
-9.88816016E+01,-8.926392E-06
-9.88724464E+01,4.959106E-06
-9.88632911E+01,-1.335144E-05
-9.88541358E+01,-1.228333E-05
-9.88449805E+01,5.874634E-06
-9.88358252E+01,-8.392334E-07
-9.88266700E+01,-6.332397E-06
-9.88175147E+01,5.722046E-06
-9.88083594E+01,-1.319885E-05
-9.87992041E+01,3.128052E-06
-9.87900488E+01,1.449585E-06
-9.87808936E+01,2.517700E-06
-9.87717383E+01,-9.918213E-07
-9.87625830E+01,7.247925E-06
-9.87534277E+01,-2.288818E-07
-9.87442724E+01,4.806519E-06
-9.87351172E+01,-1.296997E-06
-9.87259619E+01,-4.501343E-06
-9.87168066E+01,-9.918213E-07
-9.87076513E+01,1.296997E-06
-9.86984960E+01,4.806519E-06
-9.86893408E+01,-3.585815E-06
-9.86801855E+01,7.705688E-06
-9.86710302E+01,-6.942749E-06
-9.86618749E+01,2.517700E-06
-9.86527196E+01,-1.907349E-06
-9.86435644E+01,1.144409E-06
-9.86344091E+01,8.773804E-06
-9.86252538E+01,9.384155E-06
-9.86160985E+01,9.994507E-06
-9.86069432E+01,2.212524E-06
-9.85977880E+01,1.754761E-06
-9.85886327E+01,-5.111694E-06
-9.85794774E+01,4.653931E-06
-9.85703221E+01,3.280640E-06
-9.85611668E+01,5.416870E-06
-9.85520116E+01,1.602173E-06
-9.85428563E+01,1.907349E-06
-9.85337010E+01,4.501343E-06
-9.85245457E+01,4.348755E-06
-9.85153904E+01,1.144409E-06
-9.85062352E+01,-1.014709E-05
-9.84970799E+01,2.059937E-06
-9.84879246E+01,-3.433228E-06
-9.84787693E+01,-3.280640E-06
-9.84696140E+01,-4.043579E-06
-9.84604588E+01,5.340576E-07
-9.84513035E+01,-5.874634E-06
-9.84421482E+01,-3.814697E-07
-9.84329929E+01,-6.942749E-06
-9.84238376E+01,-6.866455E-07
-9.84146824E+01,9.918213E-07
-9.84055271E+01,-4.043579E-06
-9.83963718E+01,8.316040E-06
-9.83872165E+01,2.517700E-06
-9.83780612E+01,6.027222E-06
-9.83689060E+01,-3.890991E-06
-9.83597507E+01,7.705688E-06
-9.83505954E+01,-2.365112E-06
-9.83414401E+01,1.144409E-06
-9.83322848E+01,2.975464E-06
-9.83231296E+01,4.348755E-06
-9.83139743E+01,6.866455E-07
-9.83048190E+01,2.975464E-06
-9.82956637E+01,7.095337E-06
-9.82865084E+01,5.264282E-06
-9.82773532E+01,4.959106E-06
-9.82681979E+01,9.918213E-07
-9.82590426E+01,1.152039E-05
-9.82498873E+01,4.653931E-06
-9.82407320E+01,9.078979E-06
-9.82315768E+01,6.332397E-06
-9.82224215E+01,8.316040E-06
-9.82132662E+01,3.890991E-06
-9.82041109E+01,6.637573E-06
-9.81949556E+01,8.773804E-06
-9.81858004E+01,2.670288E-06
-9.81766451E+01,8.010864E-06
-9.81674898E+01,4.653931E-06
-9.81583345E+01,1.441956E-05
-9.81491792E+01,9.231567E-06
-9.81400240E+01,1.716614E-05
-9.81308687E+01,8.010864E-06
-9.81217134E+01,9.384155E-06
-9.81125581E+01,6.637573E-06
-9.81034028E+01,7.629395E-08
-9.80942476E+01,8.926392E-06
-9.80850923E+01,7.400513E-06
-9.80759370E+01,4.653931E-06
-9.80667817E+01,5.264282E-06
-9.80576264E+01,1.106262E-05
-9.80484712E+01,4.806519E-06
-9.80393159E+01,1.274109E-05
-9.80301606E+01,3.433228E-06
-9.80210053E+01,6.179810E-06
-9.80118500E+01,2.212524E-06
-9.80026948E+01,-3.890991E-06
-9.79935395E+01,6.179810E-06
-9.79843842E+01,8.163452E-06
-9.79752289E+01,1.594543E-05
-9.79660736E+01,8.773804E-06
-9.79569184E+01,1.426697E-05
-9.79477631E+01,1.106262E-05
-9.79386078E+01,1.091003E-05
-9.79294525E+01,4.959106E-06
-9.79202972E+01,9.384155E-06
-9.79111420E+01,3.890991E-06
-9.79019867E+01,1.144409E-06
-9.78928314E+01,3.280640E-06
-9.78836761E+01,-6.866455E-07
-9.78745208E+01,3.280640E-06
-9.78653656E+01,1.754761E-06
-9.78562103E+01,8.468628E-06
-9.78470550E+01,6.332397E-06
-9.78378997E+01,-2.288818E-07
-9.78287444E+01,1.602173E-06
-9.78195892E+01,3.128052E-06
