in s,C1 in V
-9.83780612E+01,4.544449E+00
-9.83689060E+01,4.546280E+00
-9.83597507E+01,4.544449E+00
-9.83505954E+01,4.545212E+00
-9.83414401E+01,4.545364E+00
-9.83322848E+01,4.544907E+00
-9.83231296E+01,4.543839E+00
-9.83139743E+01,4.544601E+00
-9.83048190E+01,4.545059E+00
-9.82956637E+01,4.543686E+00
-9.82865084E+01,4.543076E+00
-9.82773532E+01,4.544144E+00
-9.82681979E+01,4.543991E+00
-9.82590426E+01,4.542465E+00
-9.82498873E+01,4.543076E+00
-9.82407320E+01,4.544144E+00
-9.82315768E+01,4.543076E+00
-9.82224215E+01,4.542923E+00
-9.82132662E+01,4.544449E+00
-9.82041109E+01,4.545670E+00
-9.81949556E+01,4.542770E+00
-9.81858004E+01,4.543076E+00
-9.81766451E+01,4.545059E+00
-9.81674898E+01,4.543533E+00
-9.81583345E+01,4.542007E+00
-9.81491792E+01,4.543686E+00
-9.81400240E+01,4.544449E+00
-9.81308687E+01,4.542618E+00
-9.81217134E+01,4.542618E+00
-9.81125581E+01,4.544907E+00
-9.81034028E+01,4.544754E+00
-9.80942476E+01,4.543991E+00
-9.80850923E+01,4.543076E+00
-9.80759370E+01,4.544754E+00
-9.80667817E+01,4.542770E+00
-9.80576264E+01,4.542770E+00
-9.80484712E+01,4.543839E+00
-9.80393159E+01,4.544449E+00
-9.80301606E+01,4.542465E+00
-9.80210053E+01,4.542007E+00
-9.80118500E+01,4.543076E+00
-9.80026948E+01,4.541702E+00
-9.79935395E+01,4.541855E+00
-9.79843842E+01,4.542160E+00
-9.79752289E+01,4.543839E+00
-9.79660736E+01,4.542465E+00
-9.79569184E+01,4.542770E+00
-9.79477631E+01,4.543228E+00
-9.79386078E+01,4.543228E+00
-9.79294525E+01,4.543381E+00
-9.79202972E+01,4.543533E+00
-9.79111420E+01,4.545975E+00
-9.79019867E+01,4.543533E+00
-9.78928314E+01,4.543991E+00
-9.78836761E+01,4.544144E+00
-9.78745208E+01,4.543991E+00
-9.78653656E+01,4.543381E+00
-9.78562103E+01,4.543228E+00
-9.78470550E+01,4.544296E+00
-9.78378997E+01,4.542007E+00
-9.78287444E+01,4.543228E+00
-9.78195892E+01,4.544907E+00
-9.78104339E+01,4.545822E+00
-9.78012786E+01,4.544296E+00
-9.77921233E+01,4.545212E+00
-9.77829680E+01,4.545822E+00
-9.77738128E+01,4.545059E+00
-9.77646575E+01,4.543533E+00
-9.77555022E+01,4.544296E+00
-9.77463469E+01,4.545670E+00
-9.77371916E+01,4.543686E+00
-9.77280364E+01,4.545517E+00
-9.77188811E+01,4.545670E+00
-9.77097258E+01,4.545212E+00
-9.77005705E+01,4.544144E+00
-9.76914152E+01,4.544144E+00
-9.76822600E+01,4.545670E+00
-9.76731047E+01,4.543686E+00
-9.76639494E+01,4.543533E+00
-9.76547941E+01,4.544601E+00
-9.76456388E+01,4.545212E+00
-9.76364836E+01,4.544144E+00
-9.76273283E+01,4.544144E+00
